run  |     start time      |      end time       | length (min)
5773 | 2020-01-17 03:34:16 | 2020-01-17 04:35:40 | 61.4000 
5774 | 2020-01-17 04:46:53 | 2020-01-17 05:51:30 | 64.6167 
5775 | 2020-01-17 05:52:10 | 2020-01-17 06:54:03 | 61.8833 
5776 | 2020-01-17 06:54:51 | 2020-01-17 07:54:58 | 60.1167 
5777 | 2020-01-17 07:55:59 | 2020-01-17 08:36:28 | 40.4833 
5778 | 2020-01-17 08:43:59 | 2020-01-17 09:09:18 | 25.3167 
5786 | 2020-01-17 14:47:03 | 2020-01-17 15:46:06 | 59.0500 
5787 | 2020-01-17 15:47:02 | 2020-01-17 16:47:11 | 60.1500 
5788 | 2020-01-17 16:47:58 | 2020-01-17 17:44:57 | 56.9833 
5789 | 2020-01-17 17:46:12 | 2020-01-17 18:49:41 | 63.4833 
5790 | 2020-01-17 18:50:45 | 2020-01-17 19:52:19 | 61.5667 
5791 | 2020-01-17 19:53:06 | 2020-01-17 20:50:34 | 57.4667 
5792 | 2020-01-17 21:08:19 | 2020-01-17 22:14:51 | 66.5333 
5793 | 2020-01-17 22:15:49 | 2020-01-17 23:18:05 | 62.2667 
5794 | 2020-01-17 23:18:57 | 2020-01-18 00:24:00 | 65.0500 
5795 | 2020-01-18 00:24:38 | 2020-01-18 00:41:49 | 17.1833 
5796 | 2020-01-18 00:50:19 | 2020-01-18 01:50:38 | 60.3167 
5797 | 2020-01-18 01:51:18 | 2020-01-18 02:49:15 | 57.9500 
5798 | 2020-01-18 02:50:15 | 2020-01-18 03:48:55 | 58.6667 
5799 | 2020-01-18 03:49:26 | 2020-01-18 04:47:15 | 57.8167 
5800 | 2020-01-18 04:47:53 | 2020-01-18 05:44:28 | 56.5833 
5801 | 2020-01-18 05:45:09 | 2020-01-18 06:46:14 | 61.0833 
5802 | 2020-01-18 06:51:59 | 2020-01-18 07:49:40 | 57.6833 
5803 | 2020-01-18 07:50:17 | 2020-01-18 08:50:42 | 60.4167 
5804 | 2020-01-18 08:52:03 | 2020-01-18 10:03:30 | 71.4500 
5805 | 2020-01-18 10:04:31 | 2020-01-18 11:04:46 | 60.2500 
5806 | 2020-01-18 11:05:59 | 2020-01-18 12:07:06 | 61.1167 
5808 | 2020-01-18 12:16:09 | 2020-01-18 13:18:42 | 62.5500 
5809 | 2020-01-18 13:19:30 | 2020-01-18 14:20:04 | 60.5667 
5810 | 2020-01-18 14:20:43 | 2020-01-18 15:21:51 | 61.1333 
5811 | 2020-01-18 15:22:34 | 2020-01-18 16:23:30 | 60.9333 
5812 | 2020-01-18 16:24:07 | 2020-01-18 17:27:04 | 62.9500 
5813 | 2020-01-18 17:27:43 | 2020-01-18 18:30:58 | 63.2500 
5814 | 2020-01-18 18:31:34 | 2020-01-18 19:10:35 | 39.0167 
5815 | 2020-01-18 19:17:04 | 2020-01-18 20:16:51 | 59.7833 
5816 | 2020-01-18 20:17:48 | 2020-01-18 21:17:51 | 60.0500 
5817 | 2020-01-18 21:19:34 | 2020-01-18 22:25:11 | 65.6167 
5818 | 2020-01-18 22:26:17 | 2020-01-18 23:31:47 | 65.5000 
5819 | 2020-01-18 23:32:16 | 2020-01-18 23:46:33 | 14.2833 
5915 | 2020-01-25 10:39:39 | 2020-01-25 11:11:45 | 32.1000 
5916 | 2020-01-25 11:12:50 | 2020-01-25 11:41:48 | 28.9667 
5917 | 2020-01-25 11:43:32 | 2020-01-25 12:10:53 | 27.3500 
5918 | 2020-01-25 12:11:28 | 2020-01-25 12:44:14 | 32.7667 
5919 | 2020-01-25 12:44:51 | 2020-01-25 13:10:14 | 25.3833 
5921 | 2020-01-25 13:26:03 | 2020-01-25 14:11:40 | 45.6167 
5922 | 2020-01-25 14:12:21 | 2020-01-25 15:11:15 | 58.9000 
5923 | 2020-01-25 15:11:54 | 2020-01-25 16:12:34 | 60.6667 
5924 | 2020-01-25 16:21:49 | 2020-01-25 16:50:47 | 28.9667 
5928 | 2020-01-25 20:44:25 | 2020-01-25 21:31:33 | 47.1333 
5929 | 2020-01-25 21:33:19 | 2020-01-25 22:34:39 | 61.3333 
5942 | 2020-01-26 05:48:20 | 2020-01-26 06:49:03 | 60.7167 
5943 | 2020-01-26 06:49:37 | 2020-01-26 07:49:38 | 60.0167 
5944 | 2020-01-26 07:50:11 | 2020-01-26 08:53:20 | 63.1500 
5950 | 2020-01-26 11:41:37 | 2020-01-26 12:09:53 | 28.2667 
5952 | 2020-01-26 12:21:17 | 2020-01-26 13:25:44 | 64.4500 
5953 | 2020-01-26 13:28:00 | 2020-01-26 14:00:39 | 32.6500 
5954 | 2020-01-26 14:02:21 | 2020-01-26 15:01:17 | 58.9333 
5955 | 2020-01-26 15:02:04 | 2020-01-26 16:02:24 | 60.3333 
5956 | 2020-01-26 16:03:43 | 2020-01-26 17:01:06 | 57.3833 
5957 | 2020-01-26 17:02:17 | 2020-01-26 17:31:14 | 28.9500 
5958 | 2020-01-26 17:36:01 | 2020-01-26 18:36:00 | 59.9833 
5959 | 2020-01-26 18:37:35 | 2020-01-26 19:37:12 | 59.6167 
5960 | 2020-01-26 19:38:51 | 2020-01-26 20:42:28 | 63.6167 
5961 | 2020-01-26 20:43:34 | 2020-01-26 21:40:10 | 56.6000 
5962 | 2020-01-26 21:41:24 | 2020-01-26 22:39:26 | 58.0333 
5963 | 2020-01-26 22:40:34 | 2020-01-26 23:41:52 | 61.3000 
5964 | 2020-01-26 23:43:14 | 2020-01-27 00:44:12 | 60.9667 
5965 | 2020-01-27 00:44:48 | 2020-01-27 01:30:24 | 45.6000 
5966 | 2020-01-27 01:30:58 | 2020-01-27 02:29:52 | 58.9000 
5967 | 2020-01-27 02:31:48 | 2020-01-27 03:30:13 | 58.4167 
5968 | 2020-01-27 03:31:08 | 2020-01-27 04:29:22 | 58.2333 
5969 | 2020-01-27 04:29:54 | 2020-01-27 05:29:49 | 59.9167 
5970 | 2020-01-27 05:30:27 | 2020-01-27 06:29:37 | 59.1667 
5971 | 2020-01-27 06:30:11 | 2020-01-27 07:29:29 | 59.3000 
5972 | 2020-01-27 07:30:01 | 2020-01-27 08:05:41 | 35.6667 
6032 | 2020-01-29 06:03:27 | 2020-01-29 06:27:32 | 24.0833 
6033 | 2020-01-29 06:28:07 | 2020-01-29 07:29:19 | 61.2000 
6034 | 2020-01-29 07:29:52 | 2020-01-29 08:29:17 | 59.4167 
6036 | 2020-01-29 09:44:26 | 2020-01-29 10:56:45 | 72.3167 
6085 | 2020-01-31 02:24:49 | 2020-01-31 03:38:48 | 73.9833 
6086 | 2020-01-31 03:42:54 | 2020-01-31 04:44:45 | 61.8500 
6087 | 2020-01-31 04:45:30 | 2020-01-31 05:04:30 | 19.0000 
6089 | 2020-01-31 05:13:57 | 2020-01-31 06:17:55 | 63.9667 
6090 | 2020-01-31 06:18:25 | 2020-01-31 07:02:51 | 44.4333 
6091 | 2020-01-31 07:09:12 | 2020-01-31 07:30:51 | 21.6500 
6093 | 2020-01-31 08:38:40 | 2020-01-31 09:38:11 | 59.5167 
6094 | 2020-01-31 09:40:30 | 2020-01-31 10:16:45 | 36.2500 
